,맥주,년,평점
356,Desperados Red, 2017,1.6647058823529413
357,Desperados Red, 2018,1.9
358,Desperados Red, 2019,2.257142857142857
359,Desperados Red, 2020,1.8833333333333335
360,Desperados Red, 2021,2.3499999999999996
361,Edelweiss Cherry & Lavender, 2022,2.2
362,Edelweiss Weissbier Snowfresh, 2007,3.468965517241379
363,Edelweiss Weissbier Snowfresh, 2008,3.3328125
364,Edelweiss Weissbier Snowfresh, 2009,3.129090909090909
365,Edelweiss Weissbier Snowfresh, 2010,3.2633333333333336
366,Edelweiss Weissbier Snowfresh, 2011,3.182608695652174
367,Edelweiss Weissbier Snowfresh, 2012,3.182352941176471
368,Edelweiss Weissbier Snowfresh, 2013,3.3125
369,Edelweiss Weissbier Snowfresh, 2014,3.345833333333333
370,Edelweiss Weissbier Snowfresh, 2015,3.1291666666666664
371,Edelweiss Weissbier Snowfresh, 2016,3.4166666666666665
372,Edelweiss Weissbier Snowfresh, 2017,3.227272727272727
373,Edelweiss Weissbier Snowfresh, 2018,3.3299999999999996
374,Edelweiss Weissbier Snowfresh, 2019,3.257142857142857
375,Edelweiss Weissbier Snowfresh, 2020,2.5999999999999996
376,Edelweiss Weissbier Snowfresh, 2021,3.6
377,Edelweiss Weissbier Snowfresh, 2022,3.15
378,Egger Märzenbier, 2006,2.775
379,Egger Märzenbier, 2007,2.4285714285714284
380,Egger Märzenbier, 2008,2.4642857142857144
381,Egger Märzenbier, 2009,2.1799999999999997
382,Egger Märzenbier, 2010,2.5357142857142856
383,Egger Märzenbier, 2011,2.38
384,Egger Märzenbier, 2012,2.5916666666666663
385,Egger Märzenbier, 2013,2.3375
386,Egger Märzenbier, 2014,2.4058823529411764
387,Egger Märzenbier, 2015,2.5944444444444446
388,Egger Märzenbier, 2016,2.588888888888889
389,Egger Märzenbier, 2017,2.4
390,Egger Märzenbier, 2018,2.3545454545454545
391,Egger Märzenbier, 2019,2.5533333333333332
392,Egger Märzenbier, 2020,2.73
393,Egger Märzenbier, 2021,2.6
394,Egger Märzenbier, 2022,2.766666666666667
395,Erdinger Weissbier, 2000,3.175
396,Erdinger Weissbier, 2001,3.4266666666666667
397,Erdinger Weissbier, 2002,3.1840579710144925
398,Erdinger Weissbier, 2003,3.1493670886075953
399,Erdinger Weissbier, 2004,3.161764705882353
400,Erdinger Weissbier, 2005,3.1883561643835616
401,Erdinger Weissbier, 2006,3.095705521472393
402,Erdinger Weissbier, 2007,3.1313186813186813
403,Erdinger Weissbier, 2008,3.15609756097561
404,Erdinger Weissbier, 2009,3.12875
405,Erdinger Weissbier, 2010,3.0888888888888886
406,Erdinger Weissbier, 2011,3.160135135135135
407,Erdinger Weissbier, 2012,3.173333333333334
408,Erdinger Weissbier, 2013,3.259009009009009
409,Erdinger Weissbier, 2014,3.127196652719665
410,Erdinger Weissbier, 2015,3.131891891891892
411,Erdinger Weissbier, 2016,3.1069565217391304
412,Erdinger Weissbier, 2017,3.1856060606060606
413,Erdinger Weissbier, 2018,3.121794871794872
414,Erdinger Weissbier, 2019,3.1737704918032787
415,Erdinger Weissbier, 2020,3.2256410256410257
416,Erdinger Weissbier, 2021,3.305405405405405
417,Erdinger Weissbier, 2022,3.3549999999999995
418,Erdinger Weissbier Dunkel, 2000,4.3
419,Erdinger Weissbier Dunkel, 2001,3.46
420,Erdinger Weissbier Dunkel, 2002,3.3808510638297875
421,Erdinger Weissbier Dunkel, 2003,3.2414285714285715
422,Erdinger Weissbier Dunkel, 2004,3.316
423,Erdinger Weissbier Dunkel, 2005,3.2549549549549552
424,Erdinger Weissbier Dunkel, 2006,3.180392156862745
425,Erdinger Weissbier Dunkel, 2007,3.231707317073171
426,Erdinger Weissbier Dunkel, 2008,3.1655172413793102
427,Erdinger Weissbier Dunkel, 2009,3.190677966101695
428,Erdinger Weissbier Dunkel, 2010,3.209322033898305
429,Erdinger Weissbier Dunkel, 2011,3.340909090909091
430,Erdinger Weissbier Dunkel, 2012,3.3181208053691273
431,Erdinger Weissbier Dunkel, 2013,3.2314102564102565
432,Erdinger Weissbier Dunkel, 2014,3.135672514619883
433,Erdinger Weissbier Dunkel, 2015,3.1992248062015505
434,Erdinger Weissbier Dunkel, 2016,3.170833333333333
435,Erdinger Weissbier Dunkel, 2017,3.184444444444445
436,Erdinger Weissbier Dunkel, 2018,3.146153846153846
437,Erdinger Weissbier Dunkel, 2019,3.232142857142857
438,Erdinger Weissbier Dunkel, 2020,3.1322580645161286
439,Erdinger Weissbier Dunkel, 2021,3.310344827586207
440,Erdinger Weissbier Dunkel, 2022,3.1599999999999997
441,FiLite, 2017,2.566666666666667
442,FiLite, 2018,2.325
443,FiLite, 2019,2.25
444,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2016,3.6947916666666667
445,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2017,3.639705882352941
446,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2018,3.5853448275862068
447,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2019,3.663829787234042
448,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2020,3.605555555555556
